what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1470224511762
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1470224511769
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1470224511781
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1470224511792
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1470224511807
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1470224511811
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1470224511813
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1470224511820
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1470224511822
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1470224511826
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1470224511836
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1470224511852
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1470224511864
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1470224511900
os,sysinfo,,,"win32",1470224511902
arch,sysinfo,,,"x86_64",1470224511902
ws,sysinfo,,,"win32",1470224511902
locale,sysinfo,,,"en_IN",1470224511902
processors,sysinfo,,,"4",1470224511902
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470224511902
java.runtime.version,sysinfo,,,"1.8.0_92-b14",1470224511902
java.specification.name,sysinfo,,,"Java Platform API Specification",1470224511902
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470224511902
java.specification.version,sysinfo,,,"1.8",1470224511902
java.vendor,sysinfo,,,"Oracle Corporation",1470224511902
java.version,sysinfo,,,"1.8.0_92",1470224511902
java.vm.info,sysinfo,,,"mixed mode",1470224511902
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470224511902
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470224511902
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470224511902
java.vm.specification.version,sysinfo,,,"1.8",1470224511902
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470224511902
java.vm.version,sysinfo,,,"25.92-b14",1470224511902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224515017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224530271
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1470224532858
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1470224532870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1470224536485
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1470224538055
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1470224540335
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1470224540540
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1470224546520
